代碼,類型,貨號,名稱,已發佈,是特色商品？,目錄的可見度,簡短內容說明,描述,折扣價開始日期,折扣價結束日期,稅金狀態,稅率類別,有庫存？,庫存,低庫存量,允許無庫存下單嗎？,單獨銷售?,重量 (公斤),長 (公分),寬 (公分),高 (公分),允許客戶評論嗎？,購買備註,特價,原價,分類,標籤,運送類別,圖片,下載限制,下載點過期天數,上層,組合商品,追加銷售,交叉銷售,外部網址,按鈕文字,位置,屬性 1 名稱,屬性 1 值,屬性 1 可見,屬性 1 全域,屬性 1 預設,Meta: _monsterinsights_sitenote_active,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _yoast_wpseo_wordproof_timestamp,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_linkdex
,variable,L0,瑞典LELO-INA 2 伊娜二代多功能雙震動按摩棒,,,visible,,,,,,,,,,,,,,,,,,4488,5280,"給妳的獨享時光 > 入體式按摩棒,LELO, 給妳的獨享時光",,,,,,,,,,,,0,顏色,"紫, 綠, 橘",1,0,紫,,,,,,,,
,variation,L0-1,瑞典LELO-INA 2 伊娜二代多功能雙震動按摩棒 - 紫,,,visible,,,,,,,,,,,,,,,,,,4488,5280,,,,,,,L0,,,,,,1,顏色,紫,,0,,,,,,,,,
,variation,L0-2,瑞典LELO-INA 2 伊娜二代多功能雙震動按摩棒 - 綠,,,visible,,,,,,,,,,,,,,,,,,4488,5280,,,,,,,L0,,,,,,2,顏色,綠,,0,,,,,,,,,
,variation,L0-3,瑞典LELO-INA 2 伊娜二代多功能雙震動按摩棒 - 橘,,,visible,,,,,,,,,,,,,,,,,,4488,5280,,,,,,,L0,,,,,,3,顏色,橘,,0,,,,,,,,,
,variable,L1,瑞典LELO INA WAVE 伊娜 浪潮 首創仿手指挑逗技術 雙震動G點按摩棒,,,visible,,,,,,,,,,,,,,,,,,5338,6280,"給妳的獨享時光 > 入體式按摩棒,LELO, 給妳的獨享時光",,,,,,,,,,,,0,顏色,"海洋藍, 魅力紫, 櫻桃紅",1,0,海洋藍,,,,,,,,
,variation,L1-1,瑞典LELO INA WAVE 伊娜 浪潮 首創仿手指挑逗技術 雙震動G點按摩棒 - 海洋藍,,,visible,,,,,,,,,,,,,,,,,,5338,6280,,,,,,,L1,,,,,,1,顏色,海洋藍,,0,,,,,,,,,
,variation,L1-2,瑞典LELO INA WAVE 伊娜 浪潮 首創仿手指挑逗技術 雙震動G點按摩棒 - 魅力紫,,,visible,,,,,,,,,,,,,,,,,,5338,6280,,,,,,,L1,,,,,,2,顏色,魅力紫,,0,,,,,,,,,
,variation,L1-3,瑞典LELO INA WAVE 伊娜 浪潮 首創仿手指挑逗技術 雙震動G點按摩棒 - 櫻桃紅,,,visible,,,,,,,,,,,,,,,,,,5338,6280,,,,,,,L1,,,,,,3,顏色,櫻桃紅,,0,,,,,,,,,
,variable,L2,Lelo Ina Wave 2 多功能雙震動按摩棒,,,visible,"• 模仿手指摳動挑逗
• 強勁雙馬達
• 12種震動模式
• 較前一代增加30%震動強度
• IPX7 100%防水
• 50分貝靜音設計
• 食品級安全親膚矽膠",,,,,,,,,,,,,,,,,5933,6980,"給妳的獨享時光 > 入體式按摩棒,LELO, 給妳的獨享時光",,,,,,,,,,,,0,顏色,"櫻桃紅, 深紫, 加州藍",1,0,櫻桃紅,,,,,,,,
,variation,L2-1,Lelo Ina Wave 2 多功能雙震動按摩棒 - 櫻桃紅,,,visible,,,,,,,,,,,,,,,,,,5933,6980,,,,,,,L2,,,,,,1,顏色,櫻桃紅,,0,,,,,,,,,
,variation,L2-2,Lelo Ina Wave 2 多功能雙震動按摩棒 - 深紫,,,visible,,,,,,,,,,,,,,,,,,5933,6980,,,,,,,L2,,,,,,2,顏色,深紫,,0,,,,,,,,,
,variation,L2-3,Lelo Ina Wave 2 多功能雙震動按摩棒 - 加州藍,,,visible,,,,,,,,,,,,,,,,,,5933,6980,,,,,,,L2,,,,,,3,顏色,加州藍,,0,,,,,,,,,
